answer_f1,mrr,num_records,policy_name,recall@1,recall@10,recall@5,retriever,reward,rewrite_rate,subset
0.8591119707480203,0.7553434126984127,5000,always_llm,0.698,0.8634,0.8296,bm25,1.5088756917232165,1.0,all
0.8640157134662302,0.7596643650793651,5000,oracle_gated_rl,0.703,0.8696,0.8314,bm25,1.6567760392727977,0.139,all
0.857631224724071,0.7576453968253968,5000,original_only,0.7024,0.861,0.8284,bm25,1.664698310774734,0.0,all
0.8591119707480203,0.7553434126984127,5000,rl_selected,0.698,0.8634,0.8296,bm25,1.5088756917232165,1.0,all
0.8583250236380274,0.7575061111111111,5000,score_gated_rl,0.702,0.8616,0.8286,bm25,1.6653995673745692,0.0052,all
0.7998981122732097,0.6532157936507937,5000,always_llm,0.5868,0.7812,0.7422,dense,1.3460049529620017,1.0,all
0.8478896755788501,0.7087778571428571,5000,oracle_gated_rl,0.6424,0.8426,0.794,dense,1.6077617663608537,0.1704,all
0.8398533711464137,0.7061834920634921,5000,original_only,0.6422,0.8296,0.79,dense,1.598678431604953,0.0,all
0.8368485370645833,0.6955330952380953,5000,rl_selected,0.6276,0.8256,0.7806,dense,1.530282816151339,0.7558,all
0.8398533711464137,0.7061834920634921,5000,score_gated_rl,0.6422,0.8296,0.79,dense,1.598678431604953,0.0,all
0.8528721176251105,0.7746028571428571,5000,always_llm,0.7308,0.8486,0.8298,hybrid,1.500585487383984,1.0,all
0.8791406666968109,0.7992724603174604,5000,oracle_gated_rl,0.7518,0.8824,0.8596,hybrid,1.7102444206499927,0.1248,all
0.8742579085064215,0.795600873015873,5000,original_only,0.7494,0.8752,0.8546,hybrid,1.7061893907611474,0.0,all
0.8707118953851833,0.790254761904762,5000,rl_selected,0.7454,0.8702,0.8434,hybrid,1.5950291857878298,0.6048,all
0.8755378057029141,0.7969655555555555,5000,score_gated_rl,0.7508,0.877,0.855,hybrid,1.7068836806292347,0.0422,all
0.8677815253343879,0.7693679894179893,1500,always_llm,0.712,0.878,0.8433333333333334,bm25,1.5328014240428554,1.0,test
0.8715106397250787,0.7740179894179895,1500,oracle_gated_rl,0.7173333333333334,0.8833333333333333,0.8446666666666667,bm25,1.6830176479048675,0.12466666666666666,test
0.8620505950718009,0.7725087301587302,1500,original_only,0.7173333333333334,0.8753333333333333,0.842,bm25,1.6885196626152656,0.0,test
0.8677815253343879,0.7693679894179893,1500,rl_selected,0.712,0.878,0.8433333333333334,bm25,1.5328014240428554,1.0,test
0.8623921070257835,0.7727640211640211,1500,score_gated_rl,0.7173333333333334,0.876,0.8426666666666667,bm25,1.6894313974282358,0.004666666666666667,test
0.8049968928887093,0.6715616402116402,1500,always_llm,0.6066666666666667,0.8006666666666666,0.7626666666666667,dense,1.3751725998835083,1.0,test
0.8576407447588038,0.7322002645502645,1500,oracle_gated_rl,0.6653333333333333,0.868,0.8213333333333334,dense,1.6513871713212007,0.14666666666666667,test
