eval_split,retriever,comparison_method,policy_name,recall@1,recall@5,recall@10,mrr,answer_f1,avg_reward,avg_policy_reward,avg_rank_improvement,recall10_improvement,mrr_improvement,answer_f1_improvement,reward_improvement,num_records
test,dense,rule_based_rewrite,failure_type_policy,0.04,0.14,0.17333333333333334,0.0800357142857143,0.3386477339011255,0.33213983496947197,-0.18842703493681437,-0.41333333333333333,-0.07,-0.02396164021164021,-0.11688865141409262,-0.18842703493681437,300
test,dense,label_retriever_policy,label_retriever_policy,0.056666666666666664,0.18,0.25,0.10472354497354497,0.45718707573546974,0.5244505484497455,0.003883678543459139,0.04,0.006666666666666667,0.0007261904761904762,0.001650690420251613,0.003883678543459139,300
test,dense,observable_only_selector,observable_only_selector,0.056666666666666664,0.17333333333333334,0.24333333333333335,0.10399735449735449,0.4555363853152181,0.5205668699062863,0.0,0.0,0.0,0.0,0.0,0.0,300
test,dense,q_table_rewrite,offline_q_learning,0.06333333333333334,0.17666666666666667,0.23666666666666666,0.1087936507936508,0.4491098431609843,0.500677174926275,-0.019889694980011405,0.02,-0.006666666666666667,0.004796296296296296,-0.006426542154233821,-0.019889694980011405,300
test,dense,oracle_best_rewrite,oracle_best_strategy,0.09333333333333334,0.21,0.30333333333333334,0.1472791005291005,0.5359993305649815,0.631114933021288,0.11054806311500158,0.46,0.06,0.04328174603174603,0.08046294524976338,0.11054806311500158,300
test,dense,original_query,original_only,0.056666666666666664,0.17333333333333334,0.24333333333333335,0.10399735449735449,0.4555363853152181,0.5205668699062863,0.0,0.0,0.0,0.0,0.0,0.0,300
test,dense,recovery_ranker_policy,recovery_ranker_policy,0.05333333333333334,0.17666666666666667,0.23666666666666666,0.10297486772486772,0.4153600708597246,0.4519481670259351,-0.06861870288035127,-0.016666666666666666,-0.006666666666666667,-0.0010224867724867722,-0.04017631445549357,-0.06861870288035127,300
test,dense,refined_label_rule_model_policy,refined_label_rule_model_policy,0.06,0.18333333333333332,0.27,0.11048809523809525,0.44204967998310435,0.4921747211561392,-0.028392148750147103,0.12,0.02666666666666667,0.0064907407407407405,-0.013486705332113802,-0.028392148750147103,300
test,dense,retriever_tuned_contextual_bandit,retriever_tuned_bandit_policy,0.056666666666666664,0.18,0.25,0.10472354497354497,0.45718707573546974,0.5244505484497455,0.003883678543459139,0.04,0.006666666666666667,0.0007261904761904762,0.001650690420251613,0.003883678543459139,300
test,dense,reward_ranker_policy,reward_ranker_policy,0.06333333333333334,0.17,0.23666666666666666,0.10744047619047618,0.4493441582095409,0.5029866894943809,-0.017580180411905504,-0.023333333333333334,-0.006666666666666667,0.0034431216931216937,-0.006192227105677287,-0.017580180411905504,300
