answer_f1,answer_f1_improvement,avg_policy_reward,avg_rank_improvement,avg_reward,mrr,mrr_improvement,num_records,policy_name,recall10_improvement,recall@1,recall@10,recall@5,retriever,reward_improvement,subset
0.29647439384276997,-0.1363321077722487,-0.27320008049676864,-0.522,0.13055610681867724,0.03414801587301587,-0.029317857142857142,1000,always_expanded,-0.082,0.02,0.078,0.051,bm25,-0.27320008049676864,all
0.37739260006001785,-0.05541390155500083,-0.10390207984949483,-0.23,0.29985410746595104,0.05400436507936508,-0.009461507936507936,1000,always_keyword,-0.037,0.033,0.123,0.081,bm25,-0.10390207984949483,all
0.46785407864900247,0.035047577033983805,0.00284113295617844,0.361,0.4065973202716243,0.08781666666666667,0.02435079365079365,1000,always_llm,0.048,0.045,0.208,0.143,bm25,0.00284113295617844,all
0.4328065016150187,0.0,0.0,0.0,0.4037561873154459,0.06346587301587302,0.0,1000,always_prompt,0.0,0.032,0.16,0.109,bm25,0.0,all
0.3656182722822581,-0.06718822933276054,-0.1456611169262463,-0.183,0.25809507038919954,0.05851468253968254,-0.004951190476190476,1000,always_structured,-0.038,0.037,0.122,0.091,bm25,-0.1456611169262463,all
0.4688366468138151,0.03603014519879643,0.007273832012499726,0.379,0.4110300193279456,0.08800674603174603,0.024540873015873016,1000,calibrated_recovery_policy,0.049,0.044,0.209,0.147,bm25,0.007273832012499726,all
0.4679748161131029,0.035168314498084205,0.007084629671356623,0.366,0.41084081698680247,0.08778214285714286,0.02431626984126984,1000,contextual_bandit,0.051,0.044,0.211,0.143,bm25,0.007084629671356623,all
0.4550937142638382,0.022287212648819495,-0.012273060274385341,0.302,0.39148312704106053,0.08253214285714286,0.01906626984126984,1000,epsilon_greedy_bandit,0.04,0.04,0.2,0.137,bm25,-0.012273060274385341,all
0.3560013760118887,-0.07680512560313,-0.1433445172703848,-0.318,0.26041167004506105,0.048905952380952376,-0.014559920634920636,1000,failure_type_policy,-0.052,0.03,0.108,0.075,bm25,-0.1433445172703848,all
0.4658899597762324,0.03308345816121369,0.007727049710269574,0.342,0.41148323702571543,0.08589166666666667,0.02242579365079365,1000,label_retriever_policy,0.045,0.043,0.205,0.143,bm25,0.007727049710269574,all
0.4413135708776156,0.04624516956387477,0.005042899216957696,0.33,0.3715616236833519,0.07482936507936508,0.011793650793650794,300,offline_q_learning,0.05333333333333334,0.03333333333333333,0.19333333333333333,0.13,bm25,0.005042899216957696,all
0.5476267667672489,0.11482026515223022,0.17703104737854694,0.782,0.5807872346939927,0.11916825396825396,0.05570238095238095,1000,oracle_best_strategy,0.107,0.066,0.267,0.186,bm25,0.17703104737854694,all
0.4328065016150187,0.0,0.0,0.0,0.4037561873154459,0.06346587301587302,0.0,1000,original_only,0.0,0.032,0.16,0.109,bm25,0.0,all
0.38771853969526227,-0.04508796191975643,-0.09745109071287032,-0.074,0.30630509660257554,0.0630234126984127,-0.0004424603174603177,1000,random_policy,-0.016,0.037,0.144,0.095,bm25,-0.09745109071287032,all
0.46785407864900247,0.035047577033983805,0.0031470853371308206,0.365,0.4069032726525767,0.08806666666666667,0.02460079365079365,1000,recovery_ranker_policy,0.048,0.045,0.208,0.144,bm25,0.0031470853371308206,all
0.44658261438165986,0.01377611276664118,0.00770937816869036,0.177,0.4114655654841362,0.0737313492063492,0.010265476190476191,1000,reward_ranker_policy,0.024,0.036,0.184,0.129,bm25,0.00770937816869036,all
0.5476267667672489,0.11482026515223022,0.17703104737854694,0.782,0.5807872346939927,0.11916825396825396,0.05570238095238095,1000,reward_selected,0.107,0.066,0.267,0.186,bm25,0.17703104737854694,all
0.46785407864900247,0.035047577033983805,0.00284113295617844,0.361,0.4065973202716243,0.08781666666666667,0.02435079365079365,1000,thompson_sampling,0.048,0.045,0.208,0.143,bm25,0.00284113295617844,all
0.46785407864900247,0.035047577033983805,0.00284113295617844,0.361,0.4065973202716243,0.08781666666666667,0.02435079365079365,1000,ucb_bandit,0.048,0.045,0.208,0.143,bm25,0.00284113295617844,all
0.08379170737522455,-0.0009201287428789768,-0.10669845606144883,0.005,0.01583520009284103,0.033388888888888885,0.002273412698412698,1000,always_expanded,0.001,0.022,0.07,0.045,dense,-0.10669845606144883,all
0.0757907561163705,-0.008921080001733027,-0.06109118494587679,-0.105,0.06144247120841308,0.02278293650793651,-0.008332539682539683,1000,always_keyword,-0.018,0.011,0.051,0.038,dense,-0.06109118494587679,all
0.08087686827901341,-0.003834967839090119,-0.08672117122639027,-0.051,0.035812484927899596,0.029224206349206347,-0.0018912698412698417,1000,always_llm,-0.009,0.02,0.06,0.042,dense,-0.08672117122639027,all
0.08471183611810354,0.0,0.0,0.0,0.12253365615428986,0.03111547619047619,0.0,1000,always_prompt,0.0,0.019,0.069,0.048,dense,0.0,all
0.07319109381539746,-0.011520742302706078,-0.11271467499852067,-0.189,0.009818981155769194,0.01838968253968254,-0.01272579365079365,1000,always_structured,-0.029,0.01,0.04,0.03,dense,-0.11271467499852067,all
