failure_type,retriever,strategy,recall@10,mrr,answer_f1,reward,num_records
abbreviation,bm25,expanded,0.053763440860215055,0.02142857142857143,0.32930093064922794,0.09278410587760938,93
abbreviation,bm25,keyword,0.08602150537634409,0.027867383512544804,0.40360331469381944,0.25081022854238794,93
abbreviation,bm25,llm,0.13978494623655913,0.05675029868578255,0.4337217308371509,0.30680590825261256,93
abbreviation,bm25,original,0.0967741935483871,0.02895545314900154,0.4351188143989722,0.31762853162344923,93
abbreviation,bm25,structured,0.0967741935483871,0.037438129373613245,0.35814417788706043,0.19856008460799648,93
abbreviation,dense,expanded,0.053763440860215055,0.011243386243386244,0.08028711958125534,-0.036815392248969535,93
abbreviation,dense,keyword,0.010752688172043012,0.005376344086021506,0.10387326673942379,0.014430867647627382,93
abbreviation,dense,llm,0.03225806451612903,0.005854241338112305,0.0930781765073775,0.0035092206934606513,93
abbreviation,dense,original,0.043010752688172046,0.008422939068100358,0.10245242099505814,0.08726563702082656,93
abbreviation,dense,structured,0.010752688172043012,0.010752688172043012,0.09213227669836617,-0.033810091963479866,93
abbreviation,hybrid,expanded,0.043010752688172046,0.02867383512544803,0.3611497928896063,0.10157848067419382,93
abbreviation,hybrid,keyword,0.021505376344086023,0.010752688172043012,0.4003583435173567,0.17611426625164758,93
abbreviation,hybrid,llm,0.03225806451612903,0.01971326164874552,0.45042418876599727,0.18911173697808714,93
abbreviation,hybrid,original,0.0,0.0,0.3769519790611012,0.17729319383162587,93
abbreviation,hybrid,structured,0.06451612903225806,0.022580645161290325,0.3468560378239125,0.153229207954132,93
compound_noun,bm25,expanded,0.06666666666666667,0.06666666666666667,0.13607731515728994,0.0653719909119783,15
compound_noun,bm25,keyword,0.13333333333333333,0.13333333333333333,0.4156613756613757,0.3621123136123136,15
compound_noun,bm25,llm,0.2,0.16666666666666666,0.47449735449735453,0.40993771043771043,15
compound_noun,bm25,original,0.13333333333333333,0.1,0.382333611807296,0.3665001392369813,15
compound_noun,bm25,structured,0.06666666666666667,0.06666666666666667,0.38116402116402115,0.20892568542568543,15
compound_noun,dense,expanded,0.0,0.0,0.0008438079103746182,-0.10224476271147935,15
compound_noun,dense,keyword,0.0,0.0,0.0027695351137487635,-0.04433360666149984,15
compound_noun,dense,llm,0.0,0.0,0.069110420485032,-0.07608908990178415,15
compound_noun,dense,original,0.0,0.0,0.06992820670046464,0.026964103350232315,15
compound_noun,dense,structured,0.0,0.0,0.00035180299032541777,-0.08148042366116244,15
compound_noun,hybrid,expanded,0.06666666666666667,0.06666666666666667,0.28282004724809157,0.13874335695737908,15
compound_noun,hybrid,keyword,0.13333333333333333,0.08888888888888888,0.44783068783068786,0.3559747474747475,15
compound_noun,hybrid,llm,0.13333333333333333,0.08,0.4754429809748959,0.30041052367648113,15
compound_noun,hybrid,original,0.06666666666666667,0.06666666666666667,0.44783068783068786,0.3159153439153439,15
compound_noun,hybrid,structured,0.06666666666666667,0.06666666666666667,0.38116402116402115,0.20892568542568543,15
ellipsis,bm25,expanded,0.03932584269662921,0.012890137328339575,0.2399601204053662,0.14580715133876299,178
ellipsis,bm25,keyword,0.09550561797752809,0.02071517745675049,0.30931027884344375,0.24113364842832077,178
ellipsis,bm25,llm,0.16853932584269662,0.06866194043160335,0.422737011337105,0.34353789214973673,178
ellipsis,bm25,original,0.1404494382022472,0.034659800249687886,0.39510769161464643,0.353872509977111,178
ellipsis,bm25,structured,0.0449438202247191,0.016151685393258428,0.2682736162057703,0.1648905534212372,178
ellipsis,dense,expanded,0.0898876404494382,0.044192527198145176,0.07972294871480212,0.13190155818119276,178
ellipsis,dense,keyword,0.06179775280898876,0.029275905118601748,0.08015538484042352,0.09712870008919695,178
ellipsis,dense,llm,0.07303370786516854,0.03604645978241484,0.06851607115849467,0.05461406375830921,178
ellipsis,dense,original,0.08426966292134831,0.03717897271268058,0.08533939583226728,0.14406817303651887,178
ellipsis,dense,structured,0.06179775280898876,0.018889334760121276,0.10264474816924184,0.10029887667067405,178
ellipsis,hybrid,expanded,0.07865168539325842,0.021080791867308723,0.24052971526024944,0.18951311873231838,178
ellipsis,hybrid,keyword,0.06179775280898876,0.010420010700909577,0.2577469623443446,0.1764965416323114,178
ellipsis,hybrid,llm,0.0898876404494382,0.04390494025325486,0.3592472155402968,0.22076280876889998,178
ellipsis,hybrid,original,0.033707865168539325,0.005437399678972713,0.31496241210509207,0.19244709690326836,178
ellipsis,hybrid,structured,0.06179775280898876,0.026645264847512038,0.2387007950093648,0.17220486513443092,178
expression_mismatch,bm25,expanded,0.08947368421052632,0.05080409356725147,0.35859005877854766,0.14444217421211525,190
expression_mismatch,bm25,keyword,0.12105263157894737,0.05446532999164578,0.3991933694799825,0.30181712055587273,190
expression_mismatch,bm25,llm,0.2,0.08357142857142857,0.48453112607526927,0.3921672683290661,190
expression_mismatch,bm25,original,0.14736842105263157,0.06958020050125313,0.45682867500428576,0.40099391143698,190
expression_mismatch,bm25,structured,0.12105263157894737,0.06261695906432749,0.38663299025979897,0.23809969440034823,190
expression_mismatch,dense,expanded,0.05789473684210526,0.024012113617376776,0.06006804642304088,-0.04979376930899655,190
expression_mismatch,dense,keyword,0.05263157894736842,0.012725563909774435,0.050939484283015715,0.03839924228487471,190
expression_mismatch,dense,llm,0.06315789473684211,0.028477443609022556,0.0693233413701475,0.02017427823214439,190
expression_mismatch,dense,original,0.06315789473684211,0.02599206349206349,0.049076169467648895,0.09111306384827723,190
expression_mismatch,dense,structured,0.031578947368421054,0.010275689223057645,0.05065134786644984,-0.04553544592748758,190
expression_mismatch,hybrid,expanded,0.08421052631578947,0.02300125313283208,0.3038561097177637,0.09791062156977674,190
expression_mismatch,hybrid,keyword,0.07894736842105263,0.01786967418546366,0.34772769265795267,0.215681191083872,190
expression_mismatch,hybrid,llm,0.08947368421052632,0.03216165413533835,0.4017335506640945,0.21453727761596,190
expression_mismatch,hybrid,original,0.05263157894736842,0.00956766917293233,0.3955192685892245,0.24559610046002578,190
