failure_label,retriever,strategy,recall@10,mrr,answer_f1,reward,num_records
,bm25,expanded,0.2692307692307692,0.10454059829059828,0.44442157939107374,0.5225580119177591,52
,bm25,keyword,0.38461538461538464,0.20407509157509157,0.5776683997522791,0.7366043463962861,52
,bm25,llm,0.5769230769230769,0.2703754578754579,0.6741891046664503,0.9729965669852398,52
,bm25,original,0.4230769230769231,0.1823107448107448,0.577714423940839,0.803089507452715,52
,bm25,structured,0.4423076923076923,0.24166666666666667,0.6160822021116139,0.8018780973928034,52
,dense,expanded,0.4423076923076923,0.2921703296703297,0.578878891361768,0.8566784566698951,52
,dense,keyword,0.40384615384615385,0.22008547008547008,0.5206081508181961,0.735310180415203,52
,dense,llm,0.34615384615384615,0.2532051282051282,0.5061858637922569,0.6496405509437475,52
,dense,original,0.46153846153846156,0.30865384615384617,0.6174953263378529,0.9246130477843111,52
,dense,structured,0.23076923076923078,0.09278846153846154,0.3667807737036395,0.391249819086252,52
,hybrid,expanded,0.46153846153846156,0.17347374847374847,0.5399310751956476,0.7970870272193135,52
,hybrid,keyword,0.46153846153846156,0.21059981684981685,0.5587810289815338,0.8073461005713529,52
,hybrid,llm,0.46153846153846156,0.243719474969475,0.540054005899006,0.7772164107639108,52
,hybrid,original,0.46153846153846156,0.17523656898656897,0.5782770583350757,0.8382952751992838,52
,hybrid,structured,0.25,0.10702075702075702,0.4052962789166228,0.43685448866466065,52
ambiguous,bm25,expanded,0.2857142857142857,0.051587301587301584,0.5281385281385281,0.5584343434343434,7
ambiguous,bm25,keyword,0.2857142857142857,0.08730158730158731,0.5281385281385281,0.5601010101010101,7
ambiguous,bm25,llm,0.42857142857142855,0.2108843537414966,0.5281385281385281,0.712504638218924,7
ambiguous,bm25,original,0.42857142857142855,0.11785714285714285,0.5281385281385281,0.751569264069264,7
ambiguous,bm25,structured,0.2857142857142857,0.08928571428571429,0.5029761904761905,0.5305527210884354,7
ambiguous,dense,expanded,0.14285714285714285,0.02040816326530612,0.8138528138528139,0.5428447742733457,7
ambiguous,dense,keyword,0.0,0.0,0.3852813852813853,0.15930735930735931,7
ambiguous,dense,llm,0.0,0.0,0.5281385281385281,0.17849103277674705,7
ambiguous,dense,original,0.14285714285714285,0.014285714285714287,0.8138528138528139,0.5569264069264069,7
ambiguous,dense,structured,0.0,0.0,0.054695304695304696,-0.023944864659150373,7
ambiguous,hybrid,expanded,0.14285714285714285,0.014285714285714287,0.8138528138528139,0.5397835497835498,7
