reward_variant,retriever,selected_strategy,reward,recall@1,recall@5,recall@10,mrr,answer_f1,num_records,alpha,beta,answer_gamma,lambda,drift_gamma
success_only,bm25,expanded,1.0,0.0,0.6666666666666666,1.0,0.22777777777777777,0.8231884057971014,3,1.0,0.0,0.0,0.0,0.0
success_only,bm25,keyword,1.0,0.23076923076923078,0.7692307692307693,1.0,0.4275641025641026,0.6854130709222108,13,1.0,0.0,0.0,0.0,0.0
success_only,bm25,llm,1.0,0.11764705882352941,0.5294117647058824,1.0,0.3276610644257703,0.9006711305272155,68,1.0,0.0,0.0,0.0,0.0
success_only,bm25,original,0.1791713325867861,0.03583426651735722,0.12206047032474804,0.1791713325867861,0.07107040651273575,0.45567250875739707,893,1.0,0.0,0.0,0.0,0.0
success_only,bm25,structured,1.0,0.13043478260869565,0.5217391304347826,1.0,0.31683919944789507,0.9169645243970036,23,1.0,0.0,0.0,0.0,0.0
success_only,dense,expanded,1.0,0.0,0.3333333333333333,1.0,0.21084656084656084,0.7975631593105459,18,1.0,0.0,0.0,0.0,0.0
success_only,dense,keyword,1.0,0.05555555555555555,0.5277777777777778,1.0,0.28865740740740736,0.676216181840519,36,1.0,0.0,0.0,0.0,0.0
success_only,dense,llm,1.0,0.0,0.14285714285714285,1.0,0.1623582766439909,0.7650513107689118,21,1.0,0.0,0.0,0.0,0.0
success_only,dense,original,0.25410733844468786,0.05914567360350493,0.17086527929901424,0.25410733844468786,0.10710852066273753,0.4636951956944443,913,1.0,0.0,0.0,0.0,0.0
success_only,dense,structured,1.0,0.08333333333333333,0.25,1.0,0.23055555555555554,0.6648216749187806,12,1.0,0.0,0.0,0.0,0.0
success_only,hybrid,expanded,1.0,0.09090909090909091,0.3181818181818182,1.0,0.23973665223665225,0.8237175283653553,44,1.0,0.0,0.0,0.0,0.0
success_only,hybrid,keyword,1.0,0.06172839506172839,0.5555555555555556,1.0,0.2851606897903194,0.747390915974129,81,1.0,0.0,0.0,0.0,0.0
success_only,hybrid,llm,1.0,0.19047619047619047,0.6666666666666666,1.0,0.40445011337868475,0.8272663112650049,42,1.0,0.0,0.0,0.0,0.0
success_only,hybrid,original,0.16253101736972705,0.008684863523573201,0.06823821339950373,0.16253101736972705,0.03908139351687739,0.45033315146020303,806,1.0,0.0,0.0,0.0,0.0
success_only,hybrid,structured,1.0,0.037037037037037035,0.48148148148148145,1.0,0.2563492063492064,0.6334907991127156,27,1.0,0.0,0.0,0.0,0.0
success_plus_rank,bm25,expanded,1.1619047619047618,0.0,0.8571428571428571,1.0,0.3238095238095238,0.924223602484472,7,1.0,0.5,0.0,0.0,0.0
success_plus_rank,bm25,keyword,1.272943722943723,0.36363636363636365,0.8636363636363636,1.0,0.5458874458874459,0.8579948710621842,22,1.0,0.5,0.0,0.0,0.0
success_plus_rank,bm25,llm,1.1972728377065112,0.17346938775510204,0.6428571428571429,1.0,0.3945456754130224,0.9026836529281812,98,1.0,0.5,0.0,0.0,0.0
success_plus_rank,bm25,original,0.15005788029497513,0.03841536614645858,0.09123649459783914,0.12004801920768307,0.06001972217458412,0.42038076927476964,833,1.0,0.5,0.0,0.0,0.0
success_plus_rank,bm25,structured,1.2231746031746034,0.225,0.775,1.0,0.4463492063492064,0.9155591412212493,40,1.0,0.5,0.0,0.0,0.0
success_plus_rank,dense,expanded,1.2101144333702474,0.20930232558139536,0.6744186046511628,1.0,0.42022886674049464,0.8232649098501312,43,1.0,0.5,0.0,0.0,0.0
success_plus_rank,dense,keyword,1.242063492063492,0.24242424242424243,0.7727272727272727,1.0,0.48412698412698413,0.6623077814429476,66,1.0,0.5,0.0,0.0,0.0
success_plus_rank,dense,llm,1.1566374663072776,0.11320754716981132,0.5471698113207547,1.0,0.31327493261455525,0.756420586513411,53,1.0,0.5,0.0,0.0,0.0
success_plus_rank,dense,original,0.19286335101416452,0.06758448060075094,0.11889862327909888,0.1476846057571965,0.09035749051393606,0.4267494468827356,799,1.0,0.5,0.0,0.0,0.0
success_plus_rank,dense,structured,1.2417124542124542,0.28205128205128205,0.6923076923076923,1.0,0.48342490842490843,0.6698158359993104,39,1.0,0.5,0.0,0.0,0.0
