answer_f1,answer_f1_improvement,avg_policy_reward,avg_rank_improvement,avg_reward,mrr,mrr_improvement,num_records,policy_name,recall10_improvement,recall@1,recall@10,recall@5,retriever,reward_improvement,subset
0.2822056286579363,-0.0763887438742823,-0.09552800172238858,0.276,0.11569017660721276,0.022684920634920634,0.016082936507936508,1000,always_expanded,0.043,0.007,0.076,0.041,hybrid,-0.09552800172238858,retriever_originally_failed
0.3322960959080124,-0.02629827662420618,0.001969224679394575,0.282,0.2131874030089959,0.023767460317460316,0.017165476190476193,1000,always_keyword,0.041,0.008,0.074,0.042,hybrid,0.001969224679394575,retriever_originally_failed
0.39950330644986326,0.04090893391764467,0.019437287588485064,0.449,0.23065546591808642,0.03628373015873016,0.02968174603174603,1000,always_llm,0.059,0.018,0.092,0.061,hybrid,0.019437287588485064,retriever_originally_failed
0.3585943725322186,0.0,0.0,0.0,0.21121817832960135,0.006601984126984127,0.0,1000,always_prompt,0.0,0.001,0.033,0.014,hybrid,0.0,retriever_originally_failed
0.29264213260392236,-0.06595223992829623,-0.04803855873195066,0.379,0.16317961959765068,0.03165992063492064,0.025057936507936508,1000,always_structured,0.044,0.015,0.077,0.055,hybrid,-0.04803855873195066,retriever_originally_failed
0.39369074079326877,0.03509636826105023,0.020019540391223476,0.491,0.23123771872082483,0.039482142857142855,0.03288015873015873,1000,calibrated_recovery_policy,0.065,0.019,0.098,0.063,hybrid,0.020019540391223476,retriever_originally_failed
0.3824835288205096,0.023889156288291035,0.02910810633422169,0.436,0.24032628466382303,0.033496031746031746,0.02689404761904762,1000,contextual_bandit,0.061,0.014,0.094,0.06,hybrid,0.02910810633422169,retriever_originally_failed
0.393955779598043,0.03536140706582448,0.018150641440721656,0.44,0.229368819770323,0.036417063492063494,0.029815079365079367,1000,epsilon_greedy_bandit,0.059,0.019,0.092,0.059,hybrid,0.018150641440721656,retriever_originally_failed
0.31179313277807763,-0.04680123975414096,-0.022363010853826783,0.301,0.18885516747577458,0.024001190476190478,0.017399206349206348,1000,failure_type_policy,0.038,0.009,0.071,0.048,hybrid,-0.022363010853826783,retriever_originally_failed
0.3884045124700635,0.029810139937844964,0.02521931830228846,0.351,0.23643749663188982,0.029776984126984124,0.023175,1000,label_retriever_policy,0.046,0.014,0.079,0.051,hybrid,0.02521931830228846,retriever_originally_failed
0.3623093607852287,0.014820080971777937,-0.01558274031718596,0.37666666666666665,0.19532764033028013,0.03386507936507937,0.02780026455026455,300,offline_q_learning,0.04,0.02,0.07666666666666666,0.05333333333333334,hybrid,-0.01558274031718596,retriever_originally_failed
0.48130951318650117,0.12271514065428261,0.2141354785446548,0.973,0.42535365687425614,0.07248809523809524,0.0658861111111111,1000,oracle_best_strategy,0.134,0.04,0.167,0.117,hybrid,0.2141354785446548,retriever_originally_failed
0.3585943725322186,0.0,0.0,0.0,0.21121817832960135,0.006601984126984127,0.0,1000,original_only,0.0,0.001,0.033,0.014,hybrid,0.0,retriever_originally_failed
0.3399492546836573,-0.018645117848561276,-0.025605185546024912,0.273,0.18561299278357643,0.023311507936507936,0.01670952380952381,1000,random_policy,0.034,0.009,0.067,0.044,hybrid,-0.025605185546024912,retriever_originally_failed
0.39269074079326877,0.03409636826105023,0.019159540391223476,0.491,0.23037771872082483,0.039482142857142855,0.03288015873015873,1000,recovery_ranker_policy,0.065,0.019,0.098,0.063,hybrid,0.019159540391223476,retriever_originally_failed
0.38122166856263706,0.02262729603041846,0.025622563625742487,0.316,0.23684074195534385,0.027546428571428572,0.020944444444444443,1000,reward_ranker_policy,0.041,0.012,0.074,0.047,hybrid,0.025622563625742487,retriever_originally_failed
0.48130951318650117,0.12271514065428261,0.2141354785446548,0.973,0.42535365687425614,0.07248809523809524,0.0658861111111111,1000,reward_selected,0.134,0.04,0.167,0.117,hybrid,0.2141354785446548,retriever_originally_failed
0.3985375277138177,0.03994315518159909,0.01725090615697021,0.433,0.22846908448657158,0.03561706349206349,0.029015079365079365,1000,thompson_sampling,0.057,0.018,0.09,0.059,hybrid,0.01725090615697021,retriever_originally_failed
0.39950330644986326,0.04090893391764467,0.019437287588485064,0.449,0.23065546591808642,0.03628373015873016,0.02968174603174603,1000,ucb_bandit,0.059,0.018,0.092,0.061,hybrid,0.019437287588485064,retriever_originally_failed
