learned_gain,learned_policy,metric,oracle,oracle_gain,oracle_gap_closed,original,remaining_gap,retriever
0.07333333333333333,0.21333333333333335,recall@10,0.23,0.09,0.8148148148148149,0.14,0.016666666666666663,bm25
0.020747354497354514,0.08378306878306879,mrr,0.10774338624338625,0.044707671957671974,0.4640669842303029,0.06303571428571428,0.02396031746031746,bm25
0.05282600049764691,0.4478944018113877,answer_f1,0.5230030041096352,0.12793460279589441,0.41291409316309036,0.39506840131374077,0.0751086022982475,bm25
0.04021016653569559,0.4067288910020898,avg_reward,0.5274307145090301,0.1609119900426359,0.24988918802782403,0.3665187244663942,0.12070182350694031,bm25
0.026666666666666672,0.27,recall@10,0.30333333333333334,0.06,0.44444444444444453,0.24333333333333335,0.033333333333333326,dense
0.006490740740740755,0.11048809523809525,mrr,0.1472791005291005,0.04328174603174602,0.14996485437486667,0.10399735449735449,0.03679100529100526,dense
-0.013486705332113769,0.44204967998310435,answer_f1,0.5359993305649815,0.08046294524976338,-0.1676138661125312,0.4555363853152181,0.09394965058187715,dense
-0.028392148750147117,0.4921747211561392,avg_reward,0.631114933021288,0.11054806311500165,-0.2568308114146799,0.5205668699062863,0.13894021186514877,dense
0.09333333333333332,0.24,recall@10,0.31333333333333335,0.16666666666666669,0.5599999999999998,0.14666666666666667,0.07333333333333336,hybrid
0.033830687830687836,0.06942592592592593,mrr,0.12621428571428572,0.09061904761904763,0.3733286623460034,0.035595238095238096,0.05678835978835979,hybrid
0.018819733077429734,0.4572794001666908,answer_f1,0.5646581117070077,0.1261984446177467,0.14912809055955037,0.43845966708926104,0.10737871154031697,hybrid
0.06921122862978285,0.45037201455536574,avg_reward,0.6338251899481674,0.2526644040225845,0.27392552147391674,0.3811607859255829,0.18345317539280165,hybrid
