count,eval_split,num_records,policy_name,rate,retriever,selected_strategy
288,test,300,label_retriever_policy,0.96,dense,original
46,test,300,offline_q_learning,0.15333333333333332,dense,expanded
1,test,300,offline_q_learning,0.0033333333333333335,dense,keyword
7,test,300,offline_q_learning,0.023333333333333334,dense,llm
246,test,300,offline_q_learning,0.82,dense,original
12,test,300,oracle_best_strategy,0.04,dense,expanded
21,test,300,oracle_best_strategy,0.07,dense,keyword
22,test,300,oracle_best_strategy,0.07333333333333333,dense,llm
232,test,300,oracle_best_strategy,0.7733333333333333,dense,original
13,test,300,oracle_best_strategy,0.043333333333333335,dense,structured
300,test,300,original_only,1.0,dense,original
64,test,300,random_policy,0.21333333333333335,dense,expanded
60,test,300,random_policy,0.2,dense,keyword
49,test,300,random_policy,0.16333333333333333,dense,llm
59,test,300,random_policy,0.19666666666666666,dense,original
68,test,300,random_policy,0.22666666666666666,dense,structured
51,test,300,recovery_ranker_policy,0.17,dense,expanded
11,test,300,recovery_ranker_policy,0.03666666666666667,dense,keyword
72,test,300,recovery_ranker_policy,0.24,dense,llm
166,test,300,recovery_ranker_policy,0.5533333333333333,dense,original
21,test,300,refined_label_rule_model_policy,0.07,dense,expanded
83,test,300,refined_label_rule_model_policy,0.27666666666666667,dense,keyword
127,test,300,refined_label_rule_model_policy,0.42333333333333334,dense,llm
69,test,300,refined_label_rule_model_policy,0.23,dense,original
12,test,300,retriever_tuned_bandit_policy,0.04,dense,llm
288,test,300,retriever_tuned_bandit_policy,0.96,dense,original
33,test,300,reward_ranker_policy,0.11,dense,expanded
12,test,300,reward_ranker_policy,0.04,dense,llm
255,test,300,reward_ranker_policy,0.85,dense,original
12,test,300,reward_selected,0.04,dense,expanded
21,test,300,reward_selected,0.07,dense,keyword
22,test,300,reward_selected,0.07333333333333333,dense,llm
232,test,300,reward_selected,0.7733333333333333,dense,original
13,test,300,reward_selected,0.043333333333333335,dense,structured
86,test,300,state_recovery_bandit_policy,0.2866666666666667,dense,expanded
23,test,300,state_recovery_bandit_policy,0.07666666666666666,dense,keyword
47,test,300,state_recovery_bandit_policy,0.15666666666666668,dense,llm
143,test,300,state_recovery_bandit_policy,0.4766666666666667,dense,original
1,test,300,state_recovery_bandit_policy,0.0033333333333333335,dense,structured
258,test,300,thompson_sampling,0.86,dense,keyword
42,test,300,thompson_sampling,0.14,dense,llm
300,test,300,ucb_bandit,1.0,dense,original
300,test,300,always_expanded,1.0,hybrid,expanded
300,test,300,always_keyword,1.0,hybrid,keyword
300,test,300,always_llm,1.0,hybrid,llm
300,test,300,always_structured,1.0,hybrid,structured
74,test,300,calibrated_recovery_policy,0.24666666666666667,hybrid,expanded
44,test,300,calibrated_recovery_policy,0.14666666666666667,hybrid,keyword
144,test,300,calibrated_recovery_policy,0.48,hybrid,llm
30,test,300,calibrated_recovery_policy,0.1,hybrid,original
8,test,300,calibrated_recovery_policy,0.02666666666666667,hybrid,structured
74,test,300,conservative_linucb_policy,0.24666666666666667,hybrid,expanded
69,test,300,conservative_linucb_policy,0.23,hybrid,keyword
73,test,300,conservative_linucb_policy,0.24333333333333335,hybrid,llm
51,test,300,conservative_linucb_policy,0.17,hybrid,original
33,test,300,conservative_linucb_policy,0.11,hybrid,structured
85,test,300,contextual_bandit,0.2833333333333333,hybrid,expanded
70,test,300,contextual_bandit,0.23333333333333334,hybrid,keyword
129,test,300,contextual_bandit,0.43,hybrid,llm
15,test,300,contextual_bandit,0.05,hybrid,original
1,test,300,contextual_bandit,0.0033333333333333335,hybrid,structured
6,test,300,epsilon_greedy_bandit,0.02,hybrid,expanded
6,test,300,epsilon_greedy_bandit,0.02,hybrid,keyword
273,test,300,epsilon_greedy_bandit,0.91,hybrid,llm
8,test,300,epsilon_greedy_bandit,0.02666666666666667,hybrid,original
7,test,300,epsilon_greedy_bandit,0.023333333333333334,hybrid,structured
1,test,300,failure_type_policy,0.0033333333333333335,hybrid,expanded
158,test,300,failure_type_policy,0.5266666666666666,hybrid,keyword
18,test,300,failure_type_policy,0.06,hybrid,original
123,test,300,failure_type_policy,0.41,hybrid,structured
96,test,300,label_retriever_policy,0.32,hybrid,expanded
123,test,300,label_retriever_policy,0.41,hybrid,keyword
68,test,300,label_retriever_policy,0.22666666666666666,hybrid,llm
13,test,300,label_retriever_policy,0.043333333333333335,hybrid,original
86,test,300,offline_q_learning,0.2866666666666667,hybrid,expanded
21,test,300,offline_q_learning,0.07,hybrid,keyword
193,test,300,offline_q_learning,0.6433333333333333,hybrid,llm
20,test,300,oracle_best_strategy,0.06666666666666667,hybrid,expanded
24,test,300,oracle_best_strategy,0.08,hybrid,keyword
32,test,300,oracle_best_strategy,0.10666666666666667,hybrid,llm
207,test,300,oracle_best_strategy,0.69,hybrid,original
17,test,300,oracle_best_strategy,0.056666666666666664,hybrid,structured
300,test,300,original_only,1.0,hybrid,original
63,test,300,random_policy,0.21,hybrid,expanded
68,test,300,random_policy,0.22666666666666666,hybrid,keyword
58,test,300,random_policy,0.19333333333333333,hybrid,llm
61,test,300,random_policy,0.20333333333333334,hybrid,original
50,test,300,random_policy,0.16666666666666666,hybrid,structured
83,test,300,recovery_ranker_policy,0.27666666666666667,hybrid,expanded
44,test,300,recovery_ranker_policy,0.14666666666666667,hybrid,keyword
153,test,300,recovery_ranker_policy,0.51,hybrid,llm
11,test,300,recovery_ranker_policy,0.03666666666666667,hybrid,original
9,test,300,recovery_ranker_policy,0.03,hybrid,structured
85,test,300,refined_label_rule_model_policy,0.2833333333333333,hybrid,expanded
88,test,300,refined_label_rule_model_policy,0.29333333333333333,hybrid,keyword
95,test,300,refined_label_rule_model_policy,0.31666666666666665,hybrid,llm
32,test,300,refined_label_rule_model_policy,0.10666666666666667,hybrid,original
130,test,300,retriever_tuned_bandit_policy,0.43333333333333335,hybrid,expanded
32,test,300,retriever_tuned_bandit_policy,0.10666666666666667,hybrid,keyword
129,test,300,retriever_tuned_bandit_policy,0.43,hybrid,llm
8,test,300,retriever_tuned_bandit_policy,0.02666666666666667,hybrid,original
1,test,300,retriever_tuned_bandit_policy,0.0033333333333333335,hybrid,structured
73,test,300,reward_ranker_policy,0.24333333333333335,hybrid,expanded
58,test,300,reward_ranker_policy,0.19333333333333333,hybrid,keyword
112,test,300,reward_ranker_policy,0.37333333333333335,hybrid,llm
57,test,300,reward_ranker_policy,0.19,hybrid,original
20,test,300,reward_selected,0.06666666666666667,hybrid,expanded
24,test,300,reward_selected,0.08,hybrid,keyword
32,test,300,reward_selected,0.10666666666666667,hybrid,llm
207,test,300,reward_selected,0.69,hybrid,original
17,test,300,reward_selected,0.056666666666666664,hybrid,structured
128,test,300,state_recovery_bandit_policy,0.4266666666666667,hybrid,expanded
29,test,300,state_recovery_bandit_policy,0.09666666666666666,hybrid,keyword
134,test,300,state_recovery_bandit_policy,0.44666666666666666,hybrid,llm
8,test,300,state_recovery_bandit_policy,0.02666666666666667,hybrid,original
1,test,300,state_recovery_bandit_policy,0.0033333333333333335,hybrid,structured
