eval_split,harm_count,harm_rate,mean_recall10_delta,mean_reward_delta,num_records,policy_name,recovery_count,recovery_rate,retriever,rewrite_rate
all,31,0.031,0.03,-0.037070348502744925,1000,random_policy,61,0.061,hybrid,0.784
all,26,0.026,0.082,0.037166110996078056,1000,recovery_ranker_policy,108,0.108,hybrid,0.961
all,2,0.002,0.105,0.08090237290919565,1000,refined_label_rule_model_policy,107,0.107,hybrid,0.903
all,22,0.022,0.088,0.05560856347192108,1000,retriever_tuned_bandit_policy,110,0.11,hybrid,0.973
all,17,0.017,0.065,0.0483823981139269,1000,reward_ranker_policy,82,0.082,hybrid,0.796
all,0,0.0,0.194,0.2833574683896312,1000,reward_selected,194,0.194,hybrid,0.337
all,23,0.023,0.087,0.05477380156715918,1000,state_recovery_bandit_policy,110,0.11,hybrid,0.973
all,42,0.042,0.031,-0.01820046729126392,1000,thompson_sampling,73,0.073,hybrid,1.0
all,37,0.037,0.053,0.0066693246935354365,1000,ucb_bandit,90,0.09,hybrid,1.0
test,19,0.06333333333333334,-0.06333333333333334,-0.24638325999820046,300,always_expanded,0,0.0,bm25,1.0
test,14,0.04666666666666667,-0.03666666666666667,-0.103664728955788,300,always_keyword,3,0.01,bm25,1.0
test,6,0.02,0.05333333333333334,0.005042899216957696,300,always_llm,22,0.07333333333333333,bm25,1.0
test,18,0.06,-0.03666666666666667,-0.13762152035415642,300,always_structured,7,0.023333333333333334,bm25,1.0
test,3,0.01,0.03666666666666667,0.0035987552277761633,300,calibrated_recovery_policy,14,0.04666666666666667,bm25,0.57
test,2,0.006666666666666667,0.03666666666666667,-0.00927555649808869,300,conservative_linucb_policy,13,0.043333333333333335,bm25,0.6633333333333333
test,7,0.023333333333333334,0.05,0.0010554731729289191,300,contextual_bandit,22,0.07333333333333333,bm25,0.9966666666666667
test,6,0.02,0.05,-0.0064818280417881305,300,epsilon_greedy_bandit,21,0.07,bm25,0.9733333333333334
test,14,0.04666666666666667,-0.04,-0.12789905887329586,300,failure_type_policy,2,0.006666666666666667,bm25,0.94
test,4,0.013333333333333334,0.05,0.007827062255404948,300,label_retriever_policy,19,0.06333333333333334,bm25,0.87
test,6,0.02,0.05333333333333334,0.005042899216957696,300,offline_q_learning,22,0.07333333333333333,bm25,1.0
test,0,0.0,0.09,0.16091199004263587,300,oracle_best_strategy,27,0.09,bm25,0.21333333333333335
test,0,0.0,0.0,0.0,300,original_only,0,0.0,bm25,0.0
test,12,0.04,-0.006666666666666667,-0.08419495848814774,300,random_policy,10,0.03333333333333333,bm25,0.79
test,6,0.02,0.04666666666666667,0.0048458412310242015,300,recovery_ranker_policy,20,0.06666666666666667,bm25,0.93
test,0,0.0,0.07333333333333333,0.040210166535695605,300,refined_label_rule_model_policy,22,0.07333333333333333,bm25,0.9
test,6,0.02,0.06,0.015319115715661476,300,retriever_tuned_bandit_policy,24,0.08,bm25,0.9766666666666667
test,3,0.01,0.03666666666666667,0.017951847206980405,300,reward_ranker_policy,14,0.04666666666666667,bm25,0.57
test,0,0.0,0.09,0.16091199004263587,300,reward_selected,27,0.09,bm25,0.21333333333333335
test,6,0.02,0.05333333333333334,0.008783234210494434,300,state_recovery_bandit_policy,22,0.07333333333333333,bm25,0.9566666666666667
test,6,0.02,0.05333333333333334,0.005042899216957696,300,thompson_sampling,22,0.07333333333333333,bm25,1.0
test,6,0.02,0.05333333333333334,0.005042899216957696,300,ucb_bandit,22,0.07333333333333333,bm25,1.0
test,8,0.02666666666666667,-0.006666666666666667,-0.11494540718760964,300,always_expanded,6,0.02,dense,1.0
test,25,0.08333333333333333,-0.06666666666666667,-0.15916489049059845,300,always_keyword,5,0.016666666666666666,dense,1.0
test,18,0.06,-0.03,-0.12714712380895804,300,always_llm,9,0.03,dense,1.0
test,33,0.11,-0.08333333333333333,-0.24891106546085154,300,always_structured,8,0.02666666666666667,dense,1.0
test,1,0.0033333333333333335,0.0,-0.018296956547647156,300,calibrated_recovery_policy,1,0.0033333333333333335,dense,0.2
test,2,0.006666666666666667,0.013333333333333334,-0.017663434476035206,300,conservative_linucb_policy,6,0.02,dense,0.43333333333333335
test,7,0.023333333333333334,0.0,-0.05970793929544672,300,contextual_bandit,7,0.023333333333333334,dense,0.94
test,2,0.006666666666666667,-0.0033333333333333335,-0.011457575757575758,300,epsilon_greedy_bandit,1,0.0033333333333333335,dense,0.1
test,27,0.09,-0.07,-0.18842703493681437,300,failure_type_policy,6,0.02,dense,0.94
test,0,0.0,0.006666666666666667,0.003883678543459139,300,label_retriever_policy,2,0.006666666666666667,dense,0.04
test,2,0.006666666666666667,-0.006666666666666667,-0.019889694980011405,300,offline_q_learning,0,0.0,dense,0.18
test,0,0.0,0.06,0.11054806311500158,300,oracle_best_strategy,18,0.06,dense,0.22666666666666666
test,0,0.0,0.0,0.0,300,original_only,0,0.0,dense,0.0
test,15,0.05,-0.023333333333333334,-0.11565198967602477,300,random_policy,8,0.02666666666666667,dense,0.8033333333333333
test,5,0.016666666666666666,-0.006666666666666667,-0.06861870288035127,300,recovery_ranker_policy,3,0.01,dense,0.44666666666666666
test,0,0.0,0.02666666666666667,-0.028392148750147103,300,refined_label_rule_model_policy,8,0.02666666666666667,dense,0.77
test,0,0.0,0.006666666666666667,0.003883678543459139,300,retriever_tuned_bandit_policy,2,0.006666666666666667,dense,0.04
test,2,0.006666666666666667,-0.006666666666666667,-0.017580180411905504,300,reward_ranker_policy,0,0.0,dense,0.15
test,0,0.0,0.06,0.11054806311500158,300,reward_selected,18,0.06,dense,0.22666666666666666
