answer_f1,answer_f1_improvement,avg_policy_reward,avg_rank_improvement,avg_reward,mrr,mrr_improvement,num_records,policy_name,recall10_improvement,recall@1,recall@10,recall@5,retriever,reward_improvement,subset
0.700271154745208,0.02978021978021978,0.019190109890109882,0.23,1.0767915297535564,0.40251190476190474,0.017,100,always_expanded,0.02,0.32,0.55,0.51,bm25,0.019190109890109882,all
0.6804909349649882,0.01,-0.02146663614163613,0.03,1.0361347837218104,0.3720952380952381,-0.013416666666666667,100,always_keyword,0.01,0.28,0.54,0.49,bm25,-0.02146663614163613,all
0.7606057408189109,0.09011480585392267,0.09726274480730321,0.73,1.1548641646707498,0.40665873015873016,0.021146825396825393,100,always_llm,0.12,0.29,0.65,0.56,bm25,0.09726274480730321,all
0.6205842303476574,-0.0499067046173308,-0.07661763802295112,-0.23,0.9809837818404954,0.3705833333333333,-0.014928571428571428,100,always_prompt,-0.03,0.31,0.5,0.47,bm25,-0.07661763802295112,all
0.6504909349649882,-0.02,-0.13906706349206352,-0.07,0.918534356371383,0.3737777777777778,-0.011734126984126984,100,always_structured,-0.01,0.3,0.52,0.48,bm25,-0.13906706349206352,all
0.760271154745208,0.08978021978021979,0.16534902319902323,0.83,1.2229504430624698,0.4492738095238095,0.06376190476190477,100,contextual_bandit,0.11,0.36,0.64,0.56,bm25,0.16534902319902323,all
0.740605740818911,0.07011480585392267,0.057207189251747656,0.53,1.114808609115194,0.39965873015873016,0.014146825396825395,100,epsilon_greedy_bandit,0.09,0.29,0.62,0.53,bm25,0.057207189251747656,all
0.6704909349649882,0.0,-0.027157112332112328,0.02,1.030444307531334,0.374,-0.011511904761904761,100,failure_type_policy,0.0,0.29,0.53,0.49,bm25,-0.027157112332112328,all
0.7333333333333333,0.03242152113119855,0.02507583993067863,-0.1,1.2026150793650792,0.4505952380952381,-0.003571428571428571,30,offline_q_learning,0.03333333333333333,0.36666666666666664,0.6333333333333333,0.5,bm25,0.02507583993067863,all
0.8402173913043478,0.16972645633935957,0.32063703769348934,1.53,1.3782384575569357,0.5132738095238095,0.12776190476190477,100,oracle_best_strategy,0.19,0.43,0.72,0.64,bm25,0.32063703769348934,all
0.6704909349649882,0.0,0.0,0.0,1.0576014198634465,0.3855119047619048,0.0,100,original_only,0.0,0.31,0.53,0.47,bm25,0.0,all
0.6702711547452079,-0.0002197802197802201,-0.041896001221001226,-0.03,1.0157054186424452,0.37602380952380954,-0.009488095238095238,100,random_policy,0.0,0.3,0.53,0.48,bm25,-0.041896001221001226,all
0.8402173913043478,0.16972645633935957,0.32063703769348934,1.53,1.3782384575569357,0.5132738095238095,0.12776190476190477,100,reward_selected,0.19,0.43,0.72,0.64,bm25,0.32063703769348934,all
0.7606057408189109,0.09011480585392267,0.09886274480730321,0.73,1.1564641646707496,0.40665873015873016,0.021146825396825393,100,thompson_sampling,0.12,0.29,0.65,0.56,bm25,0.09886274480730321,all
0.7606057408189109,0.09011480585392267,0.09726274480730321,0.73,1.1548641646707498,0.40665873015873016,0.021146825396825393,100,ucb_bandit,0.12,0.29,0.65,0.56,bm25,0.09726274480730321,all
0.5911229969329448,-0.0002194203285117324,0.03494425808971238,0.07,0.8029932444982184,0.22406349206349205,-0.0014920634920634929,100,always_expanded,0.06,0.16,0.42,0.29,dense,0.03494425808971238,all
0.5811128949855573,-0.010229522275899088,0.022938443990255578,0.11,0.7909874303987615,0.22117857142857145,-0.004376984126984126,100,always_keyword,0.06,0.15,0.42,0.29,dense,0.022938443990255578,all
