answer_f1,mrr,num_records,policy_name,recall@1,recall@10,recall@5,retriever,reward,rewrite_rate,subset
0.9005524861878452,0.8083333333333333,20,always_llm,0.75,0.9,0.9,bm25,1.6074429097605893,1.0,all
0.9005524861878452,0.8266666666666668,20,oracle_gated_rl,0.8,0.9,0.9,bm25,1.758609576427256,0.1,all
0.9005524861878452,0.8266666666666668,20,original_only,0.8,0.9,0.9,bm25,1.7636095764272561,0.0,all
0.9005524861878452,0.8083333333333333,20,rl_selected,0.75,0.9,0.9,bm25,1.6074429097605893,1.0,all
0.9005524861878452,0.8266666666666668,20,score_gated_rl,0.8,0.9,0.9,bm25,1.7636095764272561,0.0,all
0.0,0.0,20,always_llm,0.0,0.0,0.0,dense,-0.147,1.0,all
0.0,0.0,20,oracle_gated_rl,0.0,0.0,0.0,dense,-0.147,1.0,all
0.05,0.0,20,original_only,0.0,0.0,0.0,dense,0.025,0.0,all
0.0,0.0,20,rl_selected,0.0,0.0,0.0,dense,-0.147,1.0,all
0.05,0.0,20,score_gated_rl,0.0,0.0,0.0,dense,0.025,0.0,all
0.9,0.71,20,always_llm,0.6,0.9,0.85,hybrid,1.558,1.0,all
0.9,0.6666666666666667,20,oracle_gated_rl,0.5,0.9,0.85,hybrid,1.6623333333333334,0.2,all
0.8002212389380532,0.6416666666666667,20,original_only,0.5,0.8,0.8,hybrid,1.52094395280236,0.0,all
0.9,0.6266666666666667,20,rl_selected,0.45,0.9,0.85,hybrid,1.4963333333333333,1.0,all
0.9,0.6266666666666667,20,score_gated_rl,0.45,0.9,0.85,hybrid,1.5103333333333333,0.9,all
0.6685082872928176,0.6666666666666666,6,always_llm,0.6666666666666666,0.6666666666666666,0.6666666666666666,bm25,1.177587476979742,1.0,test
0.6685082872928176,0.6666666666666666,6,oracle_gated_rl,0.6666666666666666,0.6666666666666666,0.6666666666666666,bm25,1.3175874769797422,0.3333333333333333,test
0.6685082872928176,0.6666666666666666,6,original_only,0.6666666666666666,0.6666666666666666,0.6666666666666666,bm25,1.3342541436464088,0.0,test
0.6685082872928176,0.6666666666666666,6,rl_selected,0.6666666666666666,0.6666666666666666,0.6666666666666666,bm25,1.177587476979742,1.0,test
0.6685082872928176,0.6666666666666666,6,score_gated_rl,0.6666666666666666,0.6666666666666666,0.6666666666666666,bm25,1.3342541436464088,0.0,test
0.0,0.0,6,always_llm,0.0,0.0,0.0,dense,-0.15666666666666665,1.0,test
0.0,0.0,6,oracle_gated_rl,0.0,0.0,0.0,dense,-0.15666666666666665,1.0,test
0.16666666666666666,0.0,6,original_only,0.0,0.0,0.0,dense,0.08333333333333333,0.0,test
0.0,0.0,6,rl_selected,0.0,0.0,0.0,dense,-0.15666666666666665,1.0,test
0.16666666666666666,0.0,6,score_gated_rl,0.0,0.0,0.0,dense,0.08333333333333333,0.0,test
0.6666666666666666,0.6666666666666666,6,always_llm,0.6666666666666666,0.6666666666666666,0.6666666666666666,hybrid,1.1766666666666667,1.0,test
0.6666666666666666,0.6666666666666666,6,oracle_gated_rl,0.6666666666666666,0.6666666666666666,0.6666666666666666,hybrid,1.31,0.3333333333333333,test
0.6666666666666666,0.6666666666666666,6,original_only,0.6666666666666666,0.6666666666666666,0.6666666666666666,hybrid,1.3333333333333333,0.0,test
0.6666666666666666,0.6666666666666666,6,rl_selected,0.6666666666666666,0.6666666666666666,0.6666666666666666,hybrid,1.1566666666666667,1.0,test
0.6666666666666666,0.6666666666666666,6,score_gated_rl,0.6666666666666666,0.6666666666666666,0.6666666666666666,hybrid,1.16,0.8333333333333334,test
1.0,0.869047619047619,14,always_llm,0.7857142857142857,1.0,1.0,bm25,1.7916666666666665,1.0,train
1.0,0.8952380952380953,14,oracle_gated_rl,0.8571428571428571,1.0,1.0,bm25,1.9476190476190476,0.0,train
1.0,0.8952380952380953,14,original_only,0.8571428571428571,1.0,1.0,bm25,1.9476190476190476,0.0,train
1.0,0.869047619047619,14,rl_selected,0.7857142857142857,1.0,1.0,bm25,1.7916666666666665,1.0,train
1.0,0.8952380952380953,14,score_gated_rl,0.8571428571428571,1.0,1.0,bm25,1.9476190476190476,0.0,train
0.0,0.0,14,always_llm,0.0,0.0,0.0,dense,-0.14285714285714285,1.0,train
0.0,0.0,14,oracle_gated_rl,0.0,0.0,0.0,dense,-0.14285714285714285,1.0,train
0.0,0.0,14,original_only,0.0,0.0,0.0,dense,0.0,0.0,train
0.0,0.0,14,rl_selected,0.0,0.0,0.0,dense,-0.14285714285714285,1.0,train
0.0,0.0,14,score_gated_rl,0.0,0.0,0.0,dense,0.0,0.0,train
1.0,0.7285714285714285,14,always_llm,0.5714285714285714,1.0,0.9285714285714286,hybrid,1.7214285714285715,1.0,train
1.0,0.6666666666666667,14,oracle_gated_rl,0.42857142857142855,1.0,0.9285714285714286,hybrid,1.8133333333333332,0.14285714285714285,train
0.8574589127686473,0.630952380952381,14,original_only,0.42857142857142855,0.8571428571428571,0.8571428571428571,hybrid,1.6013485040033715,0.0,train
1.0,0.6095238095238095,14,rl_selected,0.35714285714285715,1.0,0.9285714285714286,hybrid,1.6419047619047618,1.0,train
1.0,0.6095238095238095,14,score_gated_rl,0.35714285714285715,1.0,0.9285714285714286,hybrid,1.6604761904761904,0.9285714285714286,train
