bm25_weight,dense_backend,dense_weight,hybrid_alpha,model_name,mrr,num_questions,recall@1,recall@10,recall@5,retriever
0.0,sentence_transformers,1.0,0.0,intfloat/multilingual-e5-base,0.8472090955075007,5774,0.774160027710426,0.9707308624870108,0.9414617249740215,hybrid
0.1,sentence_transformers,0.9,0.1,intfloat/multilingual-e5-base,0.9284704697027166,5774,0.8889851056459993,0.9868375476272948,0.9778316591617596,hybrid
0.2,sentence_transformers,0.8,0.2,intfloat/multilingual-e5-base,0.9273132570196986,5774,0.8884655351576031,0.9861447869760998,0.9752338067197783,hybrid
0.3,sentence_transformers,0.7,0.3,intfloat/multilingual-e5-base,0.923515650342806,5774,0.883616210599238,0.9857984066505022,0.9743678559057846,hybrid
0.4,sentence_transformers,0.6,0.4,intfloat/multilingual-e5-base,0.9205971211946262,5774,0.8801524073432629,0.9849324558365085,0.9731555247661933,hybrid
0.5,sentence_transformers,0.5,0.5,intfloat/multilingual-e5-base,0.9183414567766829,5774,0.8761690335988915,0.9863179771388985,0.9722895739521995,hybrid
0.6,sentence_transformers,0.4,0.6,intfloat/multilingual-e5-base,0.9172358575112288,5774,0.874437131970904,0.9868375476272948,0.9717700034638033,hybrid
0.7,sentence_transformers,0.30000000000000004,0.7,intfloat/multilingual-e5-base,0.9162838614258764,5774,0.8732248008313128,0.9863179771388985,0.9709040526498095,hybrid
0.8,sentence_transformers,0.19999999999999996,0.8,intfloat/multilingual-e5-base,0.9147437747758147,5774,0.8714928992033253,0.9854520263249047,0.9696917215102182,hybrid
0.9,sentence_transformers,0.09999999999999998,0.9,intfloat/multilingual-e5-base,0.9114072525442456,5774,0.8675095254589539,0.9828541738829234,0.9686525805334257,hybrid
1.0,sentence_transformers,0.0,1.0,intfloat/multilingual-e5-base,0.9071845739796897,5774,0.8628333910633876,0.9790439903013509,0.9638032559750607,hybrid
