eval_split,retriever,comparison_method,policy_name,recall@1,recall@5,recall@10,mrr,answer_f1,avg_reward,avg_policy_reward,avg_rank_improvement,recall10_improvement,mrr_improvement,answer_f1_improvement,reward_improvement,num_records
test,dense,llm_rewrite,always_llm,0.02,0.043333333333333335,0.07333333333333333,0.03168915343915344,0.07687369916339908,0.04777158200613784,-0.08095070693530293,-0.03666666666666667,-0.0033333333333333335,0.0002314814814814815,-0.0008465400951438212,-0.08095070693530293,300
test,dense,rl_selected_rewrite,calibrated_recovery_policy,0.023333333333333334,0.056666666666666664,0.08,0.03489814814814815,0.08322112763291346,0.1087069923878853,-0.020015296553555457,0.0033333333333333335,0.0033333333333333335,0.00344047619047619,0.00550088837437057,-0.020015296553555457,300
test,dense,rule_based_rewrite,failure_type_policy,0.0033333333333333335,0.03666666666666667,0.05,0.01617989417989418,0.0681879192959213,0.04164868428062646,-0.0870736046608143,-0.17666666666666667,-0.02666666666666667,-0.015277777777777779,-0.009532319962621588,-0.0870736046608143,300
test,dense,label_retriever_policy,label_retriever_policy,0.016666666666666666,0.056666666666666664,0.07666666666666666,0.031457671957671955,0.07772023925854289,0.12702387624302805,-0.0016984126984126986,0.0,0.0,0.0,0.0,-0.0016984126984126986,300
test,dense,q_table_rewrite,offline_q_learning,0.02,0.06,0.07666666666666666,0.03354100529100529,0.07781236008857512,0.12202483083793834,-0.006697458103502406,0.016666666666666666,0.0,0.0020833333333333333,9.212083003222614e-05,-0.006697458103502406,300
test,dense,oracle_best_rewrite,oracle_best_strategy,0.023333333333333334,0.07333333333333333,0.10666666666666667,0.045031746031746034,0.1257300970090801,0.1830339228219438,0.05431163388050304,0.21333333333333335,0.03,0.013574074074074073,0.04800985775053724,0.05431163388050304,300
test,dense,original_query,original_only,0.016666666666666666,0.056666666666666664,0.07666666666666666,0.031457671957671955,0.07772023925854289,0.12872228894144078,0.0,0.0,0.0,0.0,0.0,0.0,300
test,dense,recovery_ranker_policy,recovery_ranker_policy,0.023333333333333334,0.056666666666666664,0.08333333333333333,0.03575925925925926,0.07669150422001907,0.0973196633839208,-0.03140262555751996,0.02,0.006666666666666667,0.004301587301587301,-0.001028735038523819,-0.03140262555751996,300
test,dense,reward_ranker_policy,reward_ranker_policy,0.016666666666666666,0.056666666666666664,0.07666666666666666,0.031457671957671955,0.07772023925854289,0.12872228894144078,0.0,0.0,0.0,0.0,0.0,0.0,300
test,dense,reward_selected_rewrite,reward_selected,0.023333333333333334,0.07333333333333333,0.10666666666666667,0.045031746031746034,0.1257300970090801,0.1830339228219438,0.05431163388050304,0.21333333333333335,0.03,0.013574074074074073,0.04800985775053724,0.05431163388050304,300
test,hybrid,llm_rewrite,always_llm,0.02,0.05333333333333334,0.08,0.03428174603174603,0.365582632971973,0.20008901187338776,-0.010821368774078341,0.38666666666666666,0.043333333333333335,0.028216931216931217,0.01809335315852227,-0.010821368774078341,300
test,hybrid,rl_selected_rewrite,calibrated_recovery_policy,0.016666666666666666,0.05,0.08333333333333333,0.032244708994709,0.34838666706971666,0.19163079286202353,-0.01927958778544258,0.37,0.04666666666666667,0.026179894179894178,0.0008973872562659136,-0.01927958778544258,300
test,hybrid,rule_based_rewrite,failure_type_policy,0.0,0.04666666666666667,0.07333333333333333,0.019238095238095238,0.30940263717563593,0.18711847708291762,-0.023791903564548474,0.30333333333333334,0.03666666666666667,0.013173280423280422,-0.0380866426378148,-0.023791903564548474,300
test,hybrid,label_retriever_policy,label_retriever_policy,0.013333333333333334,0.03666666666666667,0.06333333333333334,0.024003968253968253,0.3471677883356599,0.2001703842028494,-0.010739996444616692,0.24,0.02666666666666667,0.01793915343915344,-0.00032149147779078754,-0.010739996444616692,300
test,hybrid,q_table_rewrite,offline_q_learning,0.02,0.05333333333333334,0.07666666666666666,0.03386507936507937,0.3623093607852287,0.19532764033028013,-0.01558274031718596,0.37666666666666665,0.04,0.02780026455026455,0.014820080971777937,-0.01558274031718596,300
test,hybrid,oracle_best_rewrite,oracle_best_strategy,0.03666666666666667,0.09666666666666666,0.16,0.06358068783068783,0.46902634422525047,0.409638792461775,0.1987284118143089,0.8133333333333334,0.12333333333333334,0.05751587301587302,0.12153706441179975,0.1987284118143089,300
test,hybrid,original_query,original_only,0.0,0.016666666666666666,0.03666666666666667,0.0060648148148148145,0.34748927981345074,0.21091038064746612,0.0,0.0,0.0,0.0,0.0,0.0,300
