eval_split,retriever,comparison_method,policy_name,recall@1,recall@5,recall@10,mrr,answer_f1,avg_reward,avg_policy_reward,avg_rank_improvement,recall10_improvement,mrr_improvement,answer_f1_improvement,reward_improvement,num_records
test,bm25,llm_rewrite,always_llm,0.03333333333333333,0.13,0.19333333333333333,0.07482936507936508,0.4413135708776156,0.3715616236833519,0.005042899216957696,0.33,0.05333333333333334,0.011793650793650794,0.04624516956387477,0.005042899216957696,300
test,bm25,rl_selected_rewrite,calibrated_recovery_policy,0.03,0.13,0.19666666666666666,0.0738611111111111,0.4412669508309955,0.37725418667591487,0.010735462209520688,0.3333333333333333,0.056666666666666664,0.010825396825396825,0.046198549517254724,0.010735462209520688,300
test,bm25,rule_based_rewrite,failure_type_policy,0.03333333333333333,0.07666666666666666,0.1,0.04858333333333333,0.3297264427674259,0.23861966559309836,-0.12789905887329586,-0.26666666666666666,-0.04,-0.014452380952380951,-0.06534195854631487,-0.12789905887329586,300
test,bm25,label_retriever_policy,label_retriever_policy,0.03333333333333333,0.12333333333333334,0.19,0.07452380952380952,0.4338477699703831,0.37434578672179913,0.007827062255404948,0.29333333333333333,0.05,0.011488095238095236,0.0387793686566423,0.007827062255404948,300
test,bm25,q_table_rewrite,offline_q_learning,0.03333333333333333,0.13,0.19333333333333333,0.07482936507936508,0.4413135708776156,0.3715616236833519,0.005042899216957696,0.33,0.05333333333333334,0.011793650793650794,0.04624516956387477,0.005042899216957696,300
test,bm25,oracle_best_rewrite,oracle_best_strategy,0.06333333333333334,0.16666666666666666,0.23,0.10774338624338625,0.5230030041096352,0.5274307145090301,0.16091199004263587,0.6666666666666666,0.09,0.04470767195767196,0.12793460279589444,0.16091199004263587,300
test,bm25,original_query,original_only,0.03666666666666667,0.09666666666666666,0.14,0.06303571428571428,0.39506840131374077,0.3665187244663942,0.0,0.0,0.0,0.0,0.0,0.0,300
test,bm25,recovery_ranker_policy,recovery_ranker_policy,0.03333333333333333,0.13,0.19333333333333333,0.07582936507936508,0.4413135708776156,0.37236321098493924,0.005844486518544996,0.34,0.05333333333333334,0.012793650793650793,0.04624516956387477,0.005844486518544996,300
test,bm25,reward_ranker_policy,reward_ranker_policy,0.04,0.11666666666666667,0.18333333333333332,0.07523280423280423,0.4208790377931987,0.39781390991951976,0.03129518545312557,0.24666666666666667,0.043333333333333335,0.012197089947089946,0.025810636479457902,0.03129518545312557,300
test,bm25,reward_selected_rewrite,reward_selected,0.06333333333333334,0.16666666666666666,0.23,0.10774338624338625,0.5230030041096352,0.5274307145090301,0.16091199004263587,0.6666666666666666,0.09,0.04470767195767196,0.12793460279589444,0.16091199004263587,300
