retriever,strategy,policy_recommended,recall@10,mrr,answer_f1,reward,num_records
bm25,expanded,False,0.703125,0.4871279761904762,0.7663950752588425,1.2833240257246594,64
bm25,expanded,True,0.5323383084577115,0.38119521440416965,0.6773170869991024,1.0397039118956657,201
bm25,keyword,False,0.3466666666666667,0.22433333333333333,0.5608988764044944,0.7115790678318769,75
bm25,keyword,True,0.6578947368421053,0.45927944862155384,0.7428946992128299,1.2339890608191788,190
bm25,llm,False,0.5,0.35087632275132274,0.6399894127685966,0.9187662010932929,144
bm25,llm,True,0.6363636363636364,0.4684212252394071,0.7277870716605895,1.1020710905987585,121
bm25,original,False,0.5113636363636364,0.37981827200577195,0.6486429940344606,1.024457905747389,176
bm25,original,True,0.6067415730337079,0.4280096308186196,0.6974432775057828,1.1694680271959093,89
bm25,prompt,False,0.5056603773584906,0.3743815513626834,0.6120161186699257,0.9821799670917764,265
bm25,structured,False,0.6428571428571429,0.47094041320231794,0.7306745535568054,1.093029705601784,126
bm25,structured,True,0.48201438848920863,0.3279661984697956,0.6269023584146063,0.8654918323990355,139
dense,expanded,False,0.375,0.19400421626984127,0.5952262824217368,0.723052749345789,64
dense,expanded,True,0.4577114427860697,0.24933467582721314,0.6334324951365099,0.8772044810042495,201
dense,keyword,False,0.5466666666666666,0.3055555555555556,0.6410888997917813,0.9922851906366313,75
dense,keyword,True,0.4,0.21956558061821219,0.6117364738544615,0.7906582772962185,190
dense,llm,False,0.4444444444444444,0.22882495590828922,0.5841177144755565,0.7742491129697007,144
dense,llm,True,0.39669421487603307,0.18988259215531944,0.6459844197178591,0.6822310265977464,121
dense,original,False,0.3806818181818182,0.2383815836940837,0.5581645217746506,0.7778185072798216,176
dense,original,True,0.3258426966292135,0.21090601034421258,0.5980614254376128,0.7303264145201261,89
dense,prompt,False,0.3849056603773585,0.2198083258460617,0.5787474615646596,0.7675043087997003,265
dense,structured,False,0.38095238095238093,0.20503275384227768,0.6283710983625953,0.6470193864198969,126
dense,structured,True,0.48201438848920863,0.23033002169692815,0.6122003895731836,0.8093227595918904,139
hybrid,expanded,False,0.71875,0.4638826884920635,0.7971135496183206,1.302685619055192,64
hybrid,expanded,True,0.7114427860696517,0.3620330885256258,0.7919435623347066,1.2665405642361363,201
hybrid,keyword,False,0.5333333333333333,0.23893650793650792,0.7086742472639354,0.9794350072298512,75
hybrid,keyword,True,0.7473684210526316,0.41931077694235586,0.8214658425672734,1.342763980867328,190
hybrid,llm,False,0.5972222222222222,0.29771274250440916,0.7099948342422082,1.0244093439288642,144
hybrid,llm,True,0.7272727272727273,0.3596189164370982,0.78548526572242,1.1674281241376103,121
hybrid,original,False,0.6818181818181818,0.3973462301587301,0.7851908197214467,1.2719503431219066,176
hybrid,original,True,0.7415730337078652,0.421294810058855,0.8092357081121127,1.356838292793349,89
hybrid,prompt,False,0.6452830188679245,0.3202695417789757,0.7440556253760308,1.160766357162409,265
hybrid,structured,False,0.7222222222222222,0.3697467876039304,0.7866582241645877,1.1497898074715607,126
hybrid,structured,True,0.6187050359712231,0.28398138631951586,0.7271359924484421,1.030306890822828,139
